利用,りよう,utilization
話,はなし,"talk,story"
日常,にちじょう,"ordinary,regular,everyday,usual"
集団,しゅうだん,"group,mass"
綱,つな,rope
財布,さいふ,Wallet
抵抗,ていこう,"electrical resistance,resistance,opposition"
離す,はなす,"to part,divide,separate"
絵,え,picture
税金,ぜいきん,"tax,duty"
集会,しゅうかい,"meeting,assembly"
次,つぎ,next
一生,いっしょう,"whole life,a lifetime,all through life"
屯,とん,"ton (now usu. a metric ton, i.e. 1,000kg); tonne(usually kana)"
掛け算,かけざん,multiplication
真空,しんくう,"vacuum,hollow,empty"
軍隊,ぐんたい,"army,troops"
送り仮名,おくりがな,part of word written in kana
及ぼす,およぼす,"to exert,to cause,to exercise"
追加,ついか,"addition,supplement,appendix"
案内,あんない,"information,guidance,leading"
地球,ちきゅう,the earth
大きな,おおきな,big
波,なみ,wave
漁師,りょうし,fisherman
狭い,せまい,Narrow
包む,つつむ,to wrap
咥える,くわえる,to hold in one's mouth
別れ,わかれ,"parting,separation,farewell"
改めて,あらためて,"another time,again,over again,anew,formally"
未満,みまん,"less than,insufficient"
制限,せいげん,"restriction,restraint,limitation"
城,しろ,castle
紹介,しょうかい,introduction
広告,こうこく,advertisement
散歩,さんぽ,"walk,stroll"
運転手,うんてんしゅ,driver
大学,だいがく,university
岩,いわ,"rock,crag"
友達,ともだち,friend
工場,こうじょう,factory
一瞬,いっしゅん,"a moment,an instant"
区域,くいき,"limits,boundary,domain,zone,sphere,territory"
電力,でんりょく,electric power
国境,こっきょう,national or state border
釣,つり,fishing; angling
月曜日,げつようび,Monday
雲,くも,cloud
急に,きゅうに,(1) swiftly; quickly; immediately; (2) suddenly; abruptly; unexpectedly
符号,ふごう,"sign,mark,symbol"
門,もん,gate
高い,たかい,"tall, expensive"
悔しい,くやしい,"regrettable,mortifying,vexing"
差し支え,さしつかえ,"hindrance,impediment"
机,つくえ,desk
至急,しきゅう,"urgent,pressing"
県庁,けんちょう,prefectural office
委員,いいん,committee member
機能,きのう,"function,faculty"
穴,あな,hole
現代,げんだい,"nowadays,modern times,present-day"
寂しい,さびしい,lonely
選手,せんしゅ,"(1) player (in game),(2) team"
案外,あんがい,unexpectedly
発射,はっしゃ,"firing,shooting,discharge,catapult"
却って,かえって,"on the contrary,rather,all the more,instead"
潰れる,つぶれる,"to be smashed,to go bankrupt"
姪,めい,niece
閉じる,とじる,"to close (e.g. book, eyes),to shut"
素直,すなお,"obedient,meek,docile,unaffected"
非常,ひじょう,"emergency,extraordinary,unusual"
中,ちゅう,"inside,middle,among"
農業,のうぎょう,agriculture
特色,とくしょく,"characteristic,feature"
雇う,やとう,"to employ,to hire"
礼,れい,expression of gratitude
以後,いご,"after this,from now on,hereafter,thereafter"
具体,ぐたい,"concrete,tangible,material"
剃る,そる,to shave
気付く,きづく,"to notice,to recognize,to become aware of"
前進,ぜんしん,"advance,drive,progress"
基盤,きばん,"foundation,basis"
板,いた,"board,plank"
全般,ぜんぱん,"(the) whole,universal,wholly,general"
幸福,こうふく,"happiness,blessedness"
食べる,たべる,to eat
言い出す,いいだす,"to start talking,to speak,to tell,to propose,to suggest,to break the ice"
墨,すみ,ink
打つ,ぶつ,"to hit,to strike"
有名,ゆうめい,famous
凸凹,でこぼこ,"unevenness,roughness,ruggedness"
回転,かいてん,"rotation,revolution,turning"
始まり,はじまり,"origin,beginning"
経済,けいざい,"finance,economy"
公務,こうむ,"official business,public business"
重点,じゅうてん,"important point,lay stress on,colon,emphasis"
暮らす,くらす,"to live,to get along"
講義,こうぎ,lecture
典型,てんけい,"type,pattern,archetypal"
土曜,どよう,Saturday
年寄,としより,"old people,the aged"
見せる,みせる,to show
正方形,せいほうけい,square
努力,どりょく,"great effort,exertion,endeavour,effort"
外交,がいこう,diplomacy
汁,しる,"juice,sap,soup,broth"
校庭,こうてい,campus
消しゴム,けしゴム,eraser
紅茶,こうちゃ,black tea
捨てる,すてる,to throw away
宜しい,よろしい,"(hon) good,OK,all right,fine,very well,will do,may,can"
長期,ちょうき,long time period
設計,せっけい,"plan,design"
大した,たいした,"considerable,great,important,significant,a big deal"
質,しつ,"quality,nature (of person)"
強気,つよき,"firm,strong"
蒔く,まく,to sow (seeds)
鈍い,のろい,"dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid"
発展,はってん,"development,growth"
埋める,うめる,"to bury,to fill up,to fill (a seat, a vacant position)"
雑音,ざつおん,"noise (jarring, grating)"
功績,こうせき,"achievements,merit,meritorious service,meritorious deed"
見える,みえる,to be in sight
最終,さいしゅう,"last,final,closing"
喉,のど,throat
付く,つく,to be attached
見舞い,みまい,"enquiry,expression of sympathy,expression of concern"
日本,にっぽん,Japan
好き好き,すきずき,matter of taste
詩,し,"poem,verse of poetry"
送る,おくる,to send
感じる,かんじる,"to feel,to sense,to experience"
厳しい,きびしい,strict
虹,にじ,rainbow
地理,ちり,geography
番組,ばんぐみ,television or radio program
土地,とち,"plot of land,lot,soil"
終,おわり,the end
曇る,くもる,"to become cloudy, to become dim"
愉快,ゆかい,"pleasant,happy"
食品,しょくひん,"commodity,foodstuff"
打ち消す,うちけす,"to deny,to negate,to contradict"
裏口,うらぐち,"backdoor,rear entrance"
値,ね,"value,price,cost"
周り,まわり,surroundings
鈴,すず,bell
握手,あくしゅ,handshake
裏返す,うらがえす,"to turn inside out,to turn (something) over"
溜まる,たまる,"to collect,to gather,to save"
下宿,げしゅく,lodging
言わば,いわば,so to speak
一,いち,one
窓,まど,window
同じ,おなじ,same
我々,われわれ,we
爆発,ばくはつ,"explosion,detonation,eruption"
延びる,のびる,to be prolonged
力,ちから,"strength,power"
初旬,しょじゅん,first 10 days of the month
牛乳,ぎゅうにゅう,Milk
物語る,ものがたる,"to tell,to indicate"
借りる,かりる,to borrow
川,かわ,river
大事,だいじ,"important,valuable,serious matter"
開く,ひらく,to open an event
依頼,いらい,"(1) request,commission,dispatch,(2) dependence,trust"
匙,さじ,spoon
外,そと,Outside
濃度,のうど,"concentration,brightness"
名作,めいさく,masterpiece
駄目,だめ,"useless,no good,hopeless"
再来月,さらいげつ,month after next
文房具,ぶんぼうぐ,stationery
見当,けんとう,"be found,aim,estimate,guess,approx"
当時,とうじ,"at that time,in those days"
食う,くう,(male) (vulg) to eat
文法,ぶんぽう,grammar
書く,かく,to write
米,こめ,uncooked rice
言付ける,ことづける,"to send word,to send a message"
研究室,けんきゅうしつ,"study room,laboratory"
課税,かぜい,taxation
偉大,いだい,greatness
小鳥,ことり,small bird
句,く,sentence
助かる,たすかる,"to be saved,to be rescued,to survive,to be helpful"
害,がい,"injury,harm,evil influence,damage"
焦がす,こがす,"to burn,to scorch,to singe,to char"
定員,ていいん,"fixed number of regular personnel,capacity (of boat, etc.)"
焼く,やく,"to bake,to grill"
統計,とうけい,"scattering,a scatter,dispersion"
葉書,はがき,postcard
流れ,ながれ,"stream,current"
薄暗い,うすぐらい,"dim,gloomy"
合わせる,あわせる,"to join together,to be opposite,to face,to unite"
才能,さいのう,"talent,ability"
旅行,りょこう,travel
背負う,せおう,"to be burdened with,to carry on back or shoulder"
量,りょう,"quantity,amount,volume,portion (of food)"
手間,てま,"time,labour"
年代,ねんだい,"age,era,period,date"
爪,つめ,"fingernail or toenail,claw,talon,hoof"
公務員,こうむいん,government worker
講演,こうえん,"lecture,address"
喫茶店,きっさてん,coffee lounge
安全,あんぜん,safety
下書き,したがき,"rough copy,draft"
玉,たま,"ball,sphere,coin"
童話,どうわ,fairy tale
直流,ちょくりゅう,direct current
並木,なみき,"roadside tree,row of trees"
種類,しゅるい,"variety,kind,type"
日光,にっこう,sunlight
貧しい,まずしい,"poor,needy"
勿論,もちろん,"of course,certainly,naturally"
苦心,くしん,"pain,trouble"
毎年,まいねん/まいとし,every year
要領,ようりょう,"point,gist,essentials,outline"
欠ける,かける,to be lacking
売り切れ,うりきれ,sold-out
破産,はさん,(personal) bankruptcy
能率,のうりつ,efficiency
這う,はう,"to creep,to crawl"
縮む,ちぢむ,"to shrink,to be contracted"
大学院,だいがくいん,graduate school
個人,こじん,"individual,private person,personal,private"
転々,てんてん,moving from place to place; being passed around repeatedly
入れる,いれる,to put in
続く,つづく,to be continued
上等,じょうとう,"superiority,first class,very good"
蒸し暑い,むしあつい,"humid,sultry"
叫ぶ,さけぶ,"to shout,to cry"
農薬,のうやく,agricultural chemicals
払い戻す,はらいもどす,"to repay,to pay back"
琴,こと,Koto (Japanese harp)
夕日,ゆうひ,"(in) the evening sun,setting sun"
保存,ほぞん,"preservation,conservation,storage,maintenance"
目次,もくじ,table of contents
余り,あまり,"not very (used as adverb),not much"
支出,ししゅつ,"expenditure,expenses"
勤め,つとめ,"(1) service,duty,business,responsibility,task,(2) Buddhist religious services"
電気,でんき,"electricity,electric light"
回数,かいすう,"number of times,frequency"
来年,らいねん,next year
材料,ざいりょう,"ingredients,material"
着く,つく,to arrive at
麓,ふもと,"the foot,the bottom,the base (of a mountain)"
株,かぶ,"share,stock,stump (of tree)"
点ける,つける,"to turn on,to switch on,to light up"
用語,ようご,"term,terminology"
円周,えんしゅう,circumference
灰皿,はいざら,ashtray
鳴らす,ならす,"to ring,to sound,to chime,to beat,to snort (nose)"
浅い,あさい,"shallow,superficial"
流行る,はやる,"to flourish,to thrive,to be popular,to come into fashion"
相談,そうだん・する,to discuss
記憶,きおく,"memory,recollection,remembrance"
善,ぜん,"good,goodness,right,virtue"
掃除,そうじ,"cleaning,sweeping"
退ける,どける,"to remove,to take away,to dislodge,to put something out of the way"
松,まつ,"(1) pine tree,(2) highest (of a three-tier ranking system)"
見下ろす,みおろす,"to overlook,to command a view of,to look down on something"
準備,じゅんび・する,to prepare
口紅,くちべに,lipstick
建つ,たつ,"to erect,to be erected,to be built"
映す,うつす,"to project,to reflect,to cast (shadow)"
不通,ふつう,"suspension,interruption,stoppage,tie-up,cessation"
強盗,ごうとう,"robbery,burglary"
願い,ねがい,"desire,wish,request"
曲げる,まげる,"to bend,to crook,to lean"
真面目,まじめ,"diligent,serious,honest"
通り,とおり,"in accordance with ~,following ~,~ Street,~ Avenue"
望み,のぞみ,"wish,desire,(a) hope"
交じる,まじる,"to be mixed,to be blended with,to associate with"
積もる,つもる,to pile up
身分,みぶん,"social position,social status"
心当たり,こころあたり,"having some knowledge of,happening to know"
倉庫,そうこ,"storehouse,warehouse,godown"
必需品,ひつじゅひん,"necessities,necessary article,requisite,essential"
常に,つねに,"always,constantly"
役割,やくわり,"part,assigning (allotment of) parts,role,duties"
唇,くちびる,lips
維持,いじ,"maintenance,preservation"
不利,ふり,"disadvantage,handicap,unfavorable,drawback"
車輪,しゃりん,(car) wheel
額,ひたい,"forehead,brow"
戻す,もどす,"to restore,to put back,to return"
議論,ぎろん,"argument,discussion,dispute"
人口,じんこう,population
批判,ひはん,"criticism,judgement,comment"
鉛筆,えんぴつ,pencil
冬,ふゆ,winter
蚊,か,mosquito
書店,しょてん,bookshop
酢,す,vinegar
歓迎,かんげい,"welcome,reception"
不図,ふと,"suddenly,casually,accidentally,incidentally,unexpectedly,unintentionally(usually kana)"
暮らし,くらし,"living,livelihood,subsistence,circumstances"
遊ぶ,あそぶ,"to play, to make a visit"
初めに,はじめに,first; firstly; first of all; to begin with; in the beginning; at the beginning
先輩,せんぱい,senior
双子,ふたご,"twins,a twin"
畳む,たたむ,to fold (clothes)
独特,どくとく,"peculiarity,uniqueness,characteristic"
受取,うけとり,receipt
隠す,かくす,"to hide,to conceal"
学年,がくねん,"year in school,grade in school"
順,じゅん,"order,turn"
仕事,しごと,Job
争う,あらそう,"to dispute,to argue,to be at variance,to compete"
仏,ほとけ,"Buddha,merciful person,Buddhist image,the dead"
人込み,ひとごみ,crowd of people
絞る,しぼる,"to press,to wring,to squeeze"
安い,やすい,cheap
下さる,くださる,"(hon) to give,to confer"
背,せ,"height, stature"
漬ける,つける,"to soak,to pickle"
寝間着,ねまき,"sleep-wear,nightclothes,pyjamas,nightgown,nightdress"
娘,むすめ,(humble) daughter
佚,いつ,"be lost,peace,hide,mistake,beautiful,in turn"
仮定,かてい,"assumption,supposition,hypothesis"
本棚,ほんだな,bookshelves
労働,ろうどう,"manual labor,toil,work"
攻める,せめる,"to attack,to assault"
腐る,くさる,"to rot,to go bad"
治る,なおる,"to be cured,to heal"
要素,ようそ,element
周辺,しゅうへん,"circumference,outskirts,environs,(computer) peripheral"
是非,ぜひ,"certainly,without fail"
以内,いない,within
児童,じどう,"children,juvenile"
平ら,たいら,"flatness,level,smooth,calm,plain"
賞金,しょうきん,"prize,monetary award"
捕まえる,つかまえる,to seize
回数券,かいすうけん,book of tickets
名物,めいぶつ,"famous product,special product,speciality"
店屋,みせや,"store,shop"
満点,まんてん,perfect score
頼もしい,たのもしい,"reliable,trustworthy,hopeful,promising"
現れる,あらわれる,"(1) to appear,to come in sight,to become visible,(2) to express oneself"
坊さん,ぼうさん,"Buddhist priest,monk"
羊毛,ようもう,wool
週,しゅう,week
航空,こうくう,"aviation,flying"
押す,おす,"to push, to stamp something"
故郷,こきょう,"home town,birthplace,old village,historic village"
関心,かんしん,"concern,interest"
見直す,みなおす,"to look again,to get a better opinion of"
迫る,せまる,"to draw near,to press"
規則,きそく,regulations
性質,せいしつ,"nature,property,disposition"
分ける,わける,"to divide,to separate"
若い,わかい,young
圧縮,あっしゅく,"compression,condensation,pressure"
難しい,むずかしい,difficult
火曜日,かようび,Tuesday
住む,すむ,to live in
壊す,こわす,to break
発想,はっそう,"expression (music),conceptualization"
洗濯,せんたく,Washing
国民,こくみん,"national,people,citizen"
降る,ふる,"to fall, e.g. rain or snow"
運河,うんが,"canal,waterway"
通り掛かる,とおりかかる,to happen to pass by
語,ご,"language,word"
原産,げんさん,"place of origin,habitat"
膝,ひざ,"knee,lap"
解説,かいせつ,"explanation,commentary"
散らす,ちらす,"to scatter,to disperse,to distribute"
閉会,へいかい,closure
試合,しあい,"match,game"
幼稚,ようち,"infancy,childish,infantile"
屋上,おくじょう,rooftop
料理,りょうり,cuisine
学者,がくしゃ,scholar
傑作,けっさく,"masterpiece,best work,boner,blunder"
国家,こっか,"state,country,nation"
霧,きり,"fog,mist"
丘,おか,"hill,height,knoll,rising ground"
都,と,metropolitan
不便,ふべん,inconvenience
周囲,しゅうい,"surroundings,circumference,environs"
多少,たしょう,"more or less,somewhat,a little,some"
学ぶ,まなぶ,"to study (in depth),to learn,to take lessons in"
新しい,あたらしい,new
解放,かいほう,"release,liberation,emancipation"
公共,こうきょう,"public,community,public service,society,communal"
九,きゅう / く,Nine
公平,こうへい,"fairness,impartial,justice"
辛い,つらい,"painful,heart-breaking"
真中,まんなか,middle
関係,かんけい,relationship
不正,ふせい,"injustice,unfairness"
望遠鏡,ぼうえんきょう,telescope
誰,だれ,who
格別,かくべつ,exceptional
分,ぶ,"dividing,part"
純情,じゅんじょう,"pure heart,naivete,self-sacrificing devotion"
素人,しろうと,"amateur,novice"
楕円,だえん,ellipse
地名,ちめい,place name
肉,にく,meat
医者,いしゃ,medical doctor
点数,てんすう,"marks,points,score,runs"
事実,じじつ,"fact,truth,reality"
踏む,ふむ,to step on
観測,かんそく,observation
翻訳,ほんやく,translation
乗客,じょうきゃく,passenger
こうして,こうして,thus
白い,しろい,White
私鉄,してつ,private railway
全員,ぜんいん,"all members (unanimity),all hands,the whole crew"
止む,やむ,to stop
感動,かんどう,"being deeply moved,excitement,impression,deep emotion"
どれ,どれ,"well,now,let me see,which (of three or more)"
五,ご,Five
取り出す,とりだす,"to take out,to produce,to pick out"
袋,ふくろ,"bag,sack"
照る,てる,to shine
粉,こな,"flour,meal,powder"
謎謎,なぞなぞ,"riddle,puzzle,enigma"
為す,なす,"to accomplish,to do"
訳す,やくす,to translate
寮,りょう,"hostel,dormitory"
工業,こうぎょう,the manufacturing industry
順調,じゅんちょう,"favourable,doing well,O.K.,all right"
動かす,うごかす,"to move,to shift"
隙間,すきま,"crevice,crack,gap,opening"
安心,あんしん,relief
礼儀,れいぎ,"manners,courtesy,etiquette"
人種,じんしゅ,race (of people)
宴会,えんかい,"party,banquet"
法,ほう,Act (law: the X Act)
普通,ふつう,"usually, or a train that stops at every station"
係,かかり,"official,duty,person in charge"
覗く,のぞく,"to peep in,to look in,to peek in,to stick out"
優秀,ゆうしゅう,"superiority,excellence"
代表,だいひょう,"representative,representation,delegation,type,example,model"
菓子,かし,pastry
運,うん,"fortune,luck"
棄てる,すてる,to throw away; to cast away; to dump; to discard
出席,しゅっせき・する,to attend
次第,しだい,"(1) order,precedence,(2) circumstances,(3) immediate(ly)"
許可,きょか,"permission,approval"
例,れい,"instance,example,case"
恐怖,きょうふ,"be afraid,dread,dismay,terror"
合流,ごうりゅう,"confluence,union,linking up,merge"
目下,めした,"at present,now"
賞品,しょうひん,"prize,trophy"
皮膚,ひふ,skin
大木,たいぼく,large tree
狙う,ねらう,to aim at
宅,たく,"house,home,husband"
厄介,やっかい,"trouble,burden,care,bother"
怠る,おこたる,"to neglect,to be off guard,to be feeling better"
君,きみ,(informal) You (used by men towards women)
交際,こうさい,"company,friendship,association,society,acquaintance"
車,くるま,"car, vehicle"
景気,けいき,"condition,state,business (condition)"
等分,とうぶん,division into equal parts
悪い,わるい,bad
消費,しょうひ,"consumption,expenditure"
流す,ながす,"to drain,to float,to shed (blood, tears),to cruise (e.g. taxi)"
香り,かおり,"aroma,fragrance,scent,smell"
線路,せんろ,"line,track,roadbed"
何分,なにぶん,"what minute?,how many minutes?"
君,くん,suffix for familiar young male
重ねる,かさねる,"to pile up,to put something on another,to heap up,to add,to repeat"
教える,おしえる,"to teach, to tell"
お見舞い,おみまい,"calling on someone who is ill,enquiry"
凹む,へこむ,"to be dented,to be indented,to yield to,to give,to sink,to collapse,to cave in,to be snubbed"
水筒,すいとう,"canteen,flask,water bottle"
転がる,ころがる,"to roll,to tumble"
刺さる,ささる,"to stick,to be stuck"
夢中,むちゅう,"daze,(in a) trance,ecstasy,delirium,engrossment"
誰,だれか,somebody
受け取る,うけとる,"to receive,to get,to accept,to take"
祝う,いわう,"to congratulate,to celebrate"
化粧,けしょう,make-up (cosmetic)
専攻,せんこう,"major subject,special study"
刈る,かる,"to cut (hair),to mow (grass),to harvest"
希望,きぼう,"hope,wish,aspiration"
地味,じみ,"plain,simple"
学級,がっきゅう,grade in school
実,み,"fruit,nut,seed,content,good result"
鬼,おに,"ogre,demon,it (i.e., in a game of tag)"
人形,にんぎょう,"doll, figure"
吐き気,はきけ,"nausea,sickness in the stomach"
勇ましい,いさましい,"brave,valiant,gallant,courageous"
何でも,なんでも,"by all means,everything"
行列,ぎょうれつ,"(1) line,procession,(2) matrix (math)"
言語,げんご,language
催促,さいそく,"request,demand,claim,urge (action),press for"
大使,たいし,ambassador
約束,やくそく,promise
増減,ぞうげん,"increase and decrease,fluctuation"
便所,べんじょ,"toilet,lavatory,rest room,latrine,comfort station"
近頃,ちかごろ,"lately,recently,nowadays"
水,みず,water
経営,けいえい,"management,administration"
食物,しょくもつ,"food,foodstuff"
北極,ほっきょく,North Pole
農産物,のうさんぶつ,agricultural produce
製作,せいさく,"manufacture,production"
酒,さけ,"alcohol,sake"
地平線,ちへいせん,horizon
行く,ゆく,to go
繰り返す,くりかえす,"to repeat,to do something over again"
開く,あく,"to open, to become open"
会館,かいかん,"meeting hall,assembly hall"
下駄,げた,"geta (Japanese footwear),wooden clogs"
責める,せめる,"to condemn,to blame,to criticize"
様子,ようす,"aspect,state,appearance"
雨戸,あまど,sliding storm door
引き出し,ひきだし,"drawer,drawing out"
試す,ためす,"to attempt,to test"
宝,たから,treasure
振る,ふる,"(1) to wave,to shake,to swing,(2) to sprinkle,(3) to cast (actor),to allocate (work)"
緊張,きんちょう,"tension,mental strain,nervousness"
用,よう,use
石炭,せきたん,coal
向う,むかう,"(v5u) to face,to go towards"
信号,しんごう,"traffic lights,signal,semaphore"
習字,しゅうじ,penmanship
踊る,おどる,to dance
迎え,むかえ,"meeting,person sent to pick up an arrival"
達する,たっする,"to reach,to get to"
課,か,counter for chapters (of a book)
贅沢,ぜいたく,"luxury,extravagance"
包装,ほうそう,"packing,wrapping"
収める,おさめる,"to obtain,to reap,to pay,to supply,to accept"
貿易,ぼうえき,trade
拝見,はいけん,"(hum) (pol) seeing,look at"
影響,えいきょう,"influence,effect"
困る,こまる,to be worried
映る,うつる,"to be reflected,to harmonize with,to come out (photo)"
独身,どくしん,"bachelorhood,single,unmarried,celibate"
待つ,まつ,to wait
汚す,よごす,"(1) to disgrace,to dishonour,(2) to pollute,to contaminate,to soil,to make dirty,to stain"
束,たば,"handbreadth,bundle"
先ず,まず,"first (of all),to start with,about,almost,hardly (with neg. verb)"
管,くだ,"pipe,tube"
気の毒,きのどく,"pitiful,a pity"
代わり,かわり,"substitute,alternate"
生活,せいかつ・する,to live
見物,けんぶつ,sightseeing
勇気,ゆうき,"courage,bravery,valour,nerve,boldness"
用意,ようい,preparation
歩く,あるく,to walk
女,おんな,Woman
傾向,けいこう,"tendency,trend,inclination"
耕地,こうち,arable land
地,ち,earth
実用,じつよう,"practical use,utility"
伯父/叔父,おじさん,"uncle, middle aged gentleman"
通る,とおる,to go through
危険,きけん,danger
伯父さん,おじさん,"middle-aged gentleman,uncle"
刺す,さす,"to pierce,to stab,to prick,to thrust"
杉,すぎ,Japanese cedar
地位,ちい,"(social) position,status"
敬意,けいい,"respect,honour"
塩,しお,Salt
季節,きせつ,season
盗む,ぬすむ,to steal
運動,うんどう,"motion,exercise"
輸出,ゆしゅつ・する,to export
時期,じき,"time,season,period"
光景,こうけい,"scene,spectacle"
分量,ぶんりょう,"amount,quantity"
瞳,ひとみ,pupil (of eye)
濃い,こい,"thick (as of color, liquid),dense,strong"
税,ぜい,tax
為,ため,in order to
大臣,だいじん,cabinet minister
厳重,げんじゅう,"strict,rigour,severe,firm"
探る,さぐる,"to search,to look for,to sound out"
一度,いちど,once
哀れ,あわれ,"helpless,pity,sorrow,grief"
紐,ひも,"(1) string,cord,(2) pimp"
滝,たき,waterfall
育てる,そだてる,"to rear,to bring up"
坊や,ぼうや,boy
入院,にゅういん・する,to hospitalise
実験,じっけん,experiment
見つける,みつける,to discover
不運,ふうん,"unlucky,misfortune,bad luck,fate"
道徳,どうとく,morals
酌む,くむ,to serve sake
お土産,おみやげ,souvenir
汲む,くむ,"(1) to draw (water),to dip,to scoop,to pump"
豊富,ほうふ,"abundance,wealth,plenty,bounty"
触れる,ふれる,"to touch,to be touched,to touch on a subject,to feel,to violate (law, copyright, etc.),to perceive,t"
慶ぶ,よろこぶ,to congratulate
暴れる,あばれる,"to act violently,to rage,to struggle,to be riotous"
息,いき,"breath,tone"
負け,まけ,"defeat,loss,losing (a game)"
止める,やめる,to stop
形式,けいしき,"form,formality,format,math expression"
したがって,したがって,"therefore,consequently,in accordance with"
支度,したく・する,to prepare
単に,たんに,"simply,merely,only,solely"
引返す,ひきかえす,"to repeat,to send back,to bring back"
緩い,ゆるい,"loose,lenient,slow"
上手,じょうず,Skillful
大部分,だいぶぶん,"most part,greater part,majority"
犬,いぬ,dog
制作,せいさく,"work (film, book)"
永い,ながい,"long,lengthy"
名人,めいじん,"master,expert"
卸す,おろす,"to sell wholesale,grated (vegetables)"
本当,ほんと,"truth,reality"
仲良し,なかよし,"intimate friend,bosom buddy,chum"
抱く,いだく,"(sl) to embrace,to hug,to harbour,to entertain"
論争,ろんそう,"controversy,dispute"
謙遜,けんそん,"humble,humility,modesty"
兼ねる,かねる,"to hold (position),to serve,to be unable"
ここ,ここ,here
今回,こんかい,"now,this time,lately"
水分,すいぶん,moisture
利益,りえき,"profits,gains,(political, economic) interest"
